recipe_name,ingredients,time_preparation,calories,intolerances,recipe_url,recipe_image_url,category
Ensalada niçoise,"['patatas pequeñas rojas', 'huevos', 'judías verdes', 'tomates maduros', 'atún en conserva', 'espinacas baby', 'cebolla morada para la vinagreta', 'perejil fresco picado', 'aceite de oliva virgen extra', 'limón el zumo', 'pimienta', 'sal']",60 min,252 Cal,[],https://www.lecturas.com/recetas/ensalada-nicoise_8575.html,https://content-recetas.lecturas.com/medio/2019/12/16/ensalada_nicoise_y_ensalada_del_perigord_c0d6d2e1_800x800.jpg,Ensaladas
Ensalada del périgord,"['foie micuit', 'beicon gruesas', 'champiñones', 'berros', 'rúcula', 'tomates secos en aceite', 'piñones', 'jamón de pato', 'aceite de oliva']",25 min,386 Cal,[],https://www.lecturas.com/recetas/ensalada-perigord_8576.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_nicoise_y_ensalada_del_perigord_8e285865_800x800.jpg,Ensaladas
Xató con salsa romesco,"['bacalao desalado', 'cebolleta', 'escarolas', 'aceitunas negras', 'anchoas en aceite', 'tomates maduros para la salsa', 'cabeza de ajos para la salsa', 'ñoras para la salsa', 'pan seco para la salsa', 'almendras peladas tostadas para la salsa', 'avellanas peladas y tostadas para la salsa', 'pimentón para la salsa', 'sal para la salsa', 'aceite de oliva para la salsa', 'vinagre de vino blanco para la salsa', 'guindillas para la salsa']",35 min,,[],https://www.lecturas.com/recetas/xato-salsa-romesco_8577.html,https://content-recetas.lecturas.com/medio/2020/03/05/xato_con_salsa_romesco_y_salpicon_de_marisco_d6b2df39_800x800.jpg,Ensaladas
Ensalada de ceviche de langostinos y cebolla,"['langostinos', 'pimienta', 'limas', 'tomates', 'cebolla morada', 'limones', 'guindilla', 'aguacate', 'cilantro', 'sal', 'lechugas brotes', 'germinados de remolacha']",25 min,176 Cal,[],https://www.lecturas.com/recetas/ensalada-ceviche-langostinos-y-cebolla_8447.html,https://content-recetas.lecturas.com/medio/2019/07/25/ensalada_de_ceviche_de_langostinos_y_cebolla_y_ensalada_de_pollo_remolacha_y_manzana_ca9d87d5_800x800.jpg,Ensaladas
"Ensalada de pollo, remolacha y manzana","['pechugas de pollo', 'manzanas ácida', 'col lombarda', 'zanahorias', 'granada', 'remolacha', 'nueces peladas', 'pan rallado grueso', 'pimentón dulce', 'huevo', 'comino', 'semillas de sésamo negro', 'lechugas', 'aceite de oliva', 'sal', 'pimienta']",40 min,203 Cal,[],https://www.lecturas.com/recetas/ensalada-pollo-remolacha-y-manzana_8448.html,https://content-recetas.lecturas.com/medio/2019/08/26/ensalada_de_ceviche_de_langostinos_y_cebolla_y_ensalada_de_pollo_remolacha_y_manzana_bf72acd4_800x800.jpg,Ensaladas
"Ensalada de jamón, espinacas y roquefort","['jamón de parma', 'espinacas baby', 'queso roquefort', 'beicon gruesa', 'cebolla morada pequeña', 'nueces pecanas peladas', 'uvas pasas de corinto', 'mostaza a la antigua para la vinagreta', 'miel para la vinagreta', 'aceite de oliva virgen extra para la vinagreta', 'sal para la vinagreta', 'vinagre de vino blanco para la vinagreta', 'pimienta para la vinagreta']",15 min,183 Cal,[],https://www.lecturas.com/recetas/ensalada-jamon-espinacas-y-roquefort_8449.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_jamon_espinacas_y_roquefort_y_ensalada_de_sardinas_marinadas_y_guacamole_c3e4ef4d_800x800.jpg,Ensaladas
Ensalada de sardinas marinadas y guacamole,"['losmos de sardina', 'limón', 'lima', 'guindilla picada', 'perejil', 'lechugas', 'zanahoria', 'pan finas', 'aceite de oliva', 'sal', 'aguacate para el guacamole', 'cebollas picada para el guacamole', 'lima el zumo para el guacamole', 'tomates picado para el guacamole', 'pimienta para el guacamole', 'cilantro picado para el guacamole', 'pimiento jalapeño picado para el guacamole', 'sal para el guacamole']",30 min,196 Cal,[],https://www.lecturas.com/recetas/ensalada-sardinas-marinadas-y-guacamole_8450.html,https://content-recetas.lecturas.com/medio/2019/09/06/ensalada_de_jamon_espinacas_y_roquefort_y_ensalada_de_sardinas_marinadas_y_guacamole_109b9466_800x800.jpg,Ensaladas
"Ensalada de tomates, mozzarella y rúcula","['tomates variados', 'queso mozzarella de búfala', 'rúcula', 'rábanos', 'aceitunas negras kalamata', 'pan de pipas', 'albahaca fresca para el aceite de albahaca', 'dientes de ajo para el aceite de albahaca', 'aceite de oliva para el aceite de albahaca', 'sal para el aceite de albahaca']",20 min,172 Cal,[],https://www.lecturas.com/recetas/ensalada-tomates-mozzarella-y-rucula_8451.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_tomates_mozzarella_y_rucula_y_ensalada_de_salmon_aguacate_y_huevo_duro_b4ce8dff_800x800.jpg,Ensaladas
"Ensalada de salmón, aguacate y huevo duro","['tomates cereza', 'tomates', 'sal', 'huevos duros', 'aguacate', 'cebolla', 'berros', 'aceite de oliva', 'pimienta', 'lomo de salmón entero para el salmón marinado', 'azúcar para el salmón marinado', 'sal para el salmón marinado', 'pimienta rosa en grano para el salmón marinado', 'eneldo picadas para el salmón marinado', 'aceite de oliva para la vinagreta', 'sal para la vinagreta', 'zumo de lima para la vinagreta', 'pimienta para la vinagreta']",50 min,186 Cal,[],https://www.lecturas.com/recetas/ensalada-salmon-aguacate-y-huevo-duro_8452.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_de_tomates_mozzarella_y_rucula_y_ensalada_de_salmon_aguacate_y_huevo_duro_97e392ac_800x800.jpg,Ensaladas
Ensaladilla rusa con langostinos,"['langostinos', 'palitos de surimi', 'patatas', 'judías verdes', 'zanahorias', 'guisantes congelados', 'huevos', 'aceitunas verdes deshuesadas', 'zumo de limón', 'aceite', 'sal', 'cebollino']",55 min,240 Cal,[],https://www.lecturas.com/recetas/ensaladilla-rusa-langostinos_8455.html,https://content-recetas.lecturas.com/medio/2019/07/17/paso_a_paso_para_realizar_ensaladilla_rusa_con_langostinos_resultado_final_ccde7ef5_800x800.jpg,Ensaladas
Ensalada con carpaccio de hinojo y quinoa negra,"['lechugas', 'hinojo grande', 'quinoa negra', 'almendras laminada', 'levadura nutricional', 'semillas de cáñamo', 'vinagre de manzana', 'aceite de oliva virgen extra', 'sal']",40 min,,[],https://www.lecturas.com/recetas/ensalada-carpaccio-hinojo-y-quinoa-negra_8468.html,https://content-recetas.lecturas.com/medio/2019/07/17/ensalada_con_carpaccio_de_hinojo_y_quinoa_negra_9488618c_800x800.jpg,Ensaladas
